Series Name,Country Name,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
"Inflation, GDP deflator (annual %)",China,CHN,-0.90,-1.26,2.06,2.05,0.60,2.60,6.95,3.90,3.93,7.75,7.80,-0.21,6.88,8.08,2.33,2.16,1.03,0.00,1.41,4.23,3.50,1.29,0.49,4.55,2.25,,
"Inflation, GDP deflator (annual %)",Switzerland,CHE,-0.19,0.04,1.37,0.97,-0.25,1.18,0.30,0.92,2.15,2.38,1.45,0.46,0.31,-0.02,0.06,-0.09,-0.65,-1.27,-0.58,-0.37,0.76,-0.10,-0.70,1.25,2.50,,
"Inflation, GDP deflator (annual %)",United States,USA,1.13,1.41,2.27,2.25,1.56,1.97,2.68,3.14,3.09,2.70,1.92,0.64,1.20,2.08,1.87,1.75,1.87,1.00,1.00,1.90,2.40,1.79,1.30,4.49,7.04,,
GDP growth (annual %),China,CHN,7.85,7.66,8.49,8.34,9.13,10.04,10.11,11.39,12.72,14.23,9.65,9.40,10.64,9.55,7.86,7.77,7.43,7.04,6.85,6.95,6.75,5.95,2.24,8.45,2.99,,
GDP growth (annual %),Switzerland,CHE,3.03,1.66,3.96,1.58,-0.07,-0.03,2.70,2.75,4.07,3.92,2.81,-2.30,3.24,1.81,1.18,1.79,2.35,1.64,2.07,1.36,2.86,1.14,-2.14,5.39,2.57,,
GDP growth (annual %),United States,USA,4.48,4.79,4.08,0.95,1.70,2.80,3.85,3.48,2.78,2.01,0.12,-2.60,2.71,1.55,2.28,1.84,2.29,2.71,1.67,2.24,2.95,2.29,-2.77,5.95,1.94,,
"Stock market return (%, year-on-year)",China,CHN,7.83,8.40,36.73,5.03,-20.01,-6.40,1.32,-22.18,39.56,161.14,-27.44,-10.46,3.22,-5.72,-16.74,-1.04,1.65,65.56,-18.86,8.24,-9.24,-1.11,7.07,13.47,,,
"Stock market return (%, year-on-year)",Switzerland,CHE,35.96,0.53,8.00,-9.77,-17.76,-15.37,16.17,14.78,25.04,11.37,-22.88,-18.15,14.27,-6.96,4.88,24.14,9.26,4.28,-10.14,10.91,-0.16,9.56,4.01,15.15,,,
"Stock market return (%, year-on-year)",United States,USA,24.32,22.30,7.48,-16.32,-16.62,-3.06,17.23,6.75,8.54,12.67,-17.33,-22.35,20.24,11.27,8.74,19.14,17.58,6.70,1.60,16.91,12.08,6.14,10.57,32.65,,,
Real interest rate (%),China,CHN,7.36,7.20,3.71,3.73,4.68,2.64,-1.28,1.61,2.11,-0.26,-2.31,5.53,-1.00,-1.40,3.59,3.76,4.52,4.35,2.90,0.11,0.82,3.02,3.84,-0.19,2.05,,
Real interest rate (%),Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,1.87,2.28,2.41,2.74,2.62,2.78,3.37,4.00,3.25,3.01,1.85,2.74,3.36,1.38,0.15,,
Real interest rate (%),United States,USA,7.15,6.49,6.81,4.57,3.07,2.11,1.61,2.96,4.73,5.21,3.11,2.59,2.02,1.15,1.35,1.47,1.35,2.24,2.48,2.16,2.44,3.43,2.21,-1.19,..,,
